,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
10,-61.0,-69.0,-79.0,-79.0,-61.0,-61.0,-60.0,-79.0,-72.0,-79.0,-69.0,-74.0,-73.0,-79.0,-69.0,-61.0,-72.0,-73.0,-77.0,-77.0,-78.0,-78.0,-69.0,-60.0,-70.0,-70.0,-78.0,-72.0,-78.0,-61.0,-72.0,-65.44179389312977,-79.0,-95.0,-76.0,-79.0,-95.0,-95.0,-79.0,-79.0,-95.0,-79.0,-95.0,-60.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
11,-62.0,-69.0,-79.0,-77.0,-69.0,-64.0,-62.0,-79.0,-70.0,-79.0,-69.0,-73.0,-77.0,-79.0,-69.0,-62.0,-71.0,-72.0,-77.0,-77.0,-78.0,-78.0,-69.0,-62.0,-70.0,-77.0,-77.0,-70.0,-78.0,-62.0,-71.0,-65.44179389312977,-79.0,-95.0,-76.0,-79.0,-95.0,-95.0,-79.0,-79.0,-95.0,-79.0,-95.0,-63.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
12,-65.0,-69.0,-79.0,-76.0,-69.0,-65.0,-63.0,-79.0,-73.0,-79.0,-69.0,-79.0,-75.0,-79.0,-69.0,-66.0,-73.0,-74.0,-76.0,-77.0,-76.0,-76.0,-69.0,-65.0,-70.0,-75.0,-76.0,-73.0,-78.0,-64.0,-73.0,-65.44179389312977,-79.0,-95.0,-76.0,-79.0,-95.0,-79.0,-79.0,-79.0,-95.0,-79.0,-95.0,-65.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
13,-64.0,-69.0,-79.0,-79.0,-69.0,-65.0,-64.0,-79.0,-70.0,-79.0,-69.0,-79.0,-78.0,-79.0,-69.0,-65.0,-71.0,-71.0,-78.0,-79.0,-79.0,-79.0,-69.0,-65.0,-70.0,-79.0,-77.0,-70.0,-79.0,-64.0,-70.0,-70.0,-79.0,-69.0,-76.61282051282052,-79.0,-95.0,-79.0,-79.0,-79.0,-95.0,-79.0,-95.0,-65.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
14,-64.0,-69.0,-79.0,-77.0,-69.0,-64.0,-62.0,-79.0,-72.0,-79.0,-69.0,-79.0,-78.0,-79.0,-69.0,-64.0,-72.0,-73.0,-78.0,-79.0,-79.0,-78.0,-70.0,-64.0,-70.0,-78.0,-77.0,-72.0,-79.0,-64.0,-72.0,-72.0,-79.0,-69.0,-76.61282051282052,-79.0,-83.0,-79.0,-79.0,-79.0,-95.0,-79.0,-95.0,-63.0,-83.0,-83.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
15,-68.0,-70.0,-71.0,-73.0,-68.0,-69.0,-67.0,-79.0,-71.0,-79.0,-70.0,-79.0,-73.0,-79.0,-69.0,-69.0,-71.0,-71.0,-73.0,-79.0,-79.0,-74.0,-70.0,-70.0,-70.0,-74.0,-77.0,-83.0,-79.0,-65.0,-82.0,-72.0,-95.0,-95.0,-79.0,-68.05708661417323,-95.0,-79.0,-79.0,-79.0,-95.0,-68.67054263565892,-95.0,-67.4870283018868,-95.0,-95.0,-83.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
16,-65.0,-71.0,-72.0,-74.0,-71.0,-66.0,-63.0,-79.0,-71.0,-79.0,-71.0,-73.0,-76.0,-76.69600938967136,-95.0,-65.0,-72.0,-72.0,-74.0,-79.0,-79.0,-75.0,-70.0,-64.0,-71.0,-74.0,-75.0,-66.31704980842912,-79.0,-65.0,-64.9445564516129,-72.0,-95.0,-95.0,-79.0,-68.05708661417323,-95.0,-79.0,-79.0,-79.0,-95.0,-68.67054263565892,-95.0,-67.4870283018868,-95.0,-95.0,-83.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
17,-66.0,-70.0,-70.0,-74.0,-71.0,-66.0,-65.0,-75.0,-70.0,-79.0,-70.0,-70.0,-76.0,-76.69600938967136,-95.0,-67.0,-70.0,-71.0,-74.0,-77.0,-79.0,-75.0,-70.0,-67.0,-70.0,-75.0,-75.0,-66.31704980842912,-76.76741293532338,-65.0,-64.9445564516129,-72.0,-95.0,-95.0,-76.61282051282052,-68.05708661417323,-95.0,-79.0,-79.0,-79.0,-95.0,-79.0,-95.0,-67.4870283018868,-95.0,-95.0,-83.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
18,-67.0,-69.0,-71.0,-75.0,-69.0,-68.0,-67.0,-75.0,-70.0,-79.0,-69.0,-71.0,-76.0,-79.0,-70.0,-68.0,-70.0,-71.0,-75.0,-77.0,-79.0,-76.0,-69.0,-67.0,-69.0,-76.0,-75.0,-66.31704980842912,-76.76741293532338,-65.0,-64.9445564516129,-70.0,-95.0,-95.0,-76.61282051282052,-68.05708661417323,-95.0,-79.0,-79.0,-79.0,-95.0,-79.0,-95.0,-67.4870283018868,-95.0,-95.0,-83.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
19,-68.0,-72.0,-72.0,-75.0,-72.0,-68.0,-66.0,-79.0,-71.0,-79.0,-72.0,-73.0,-76.0,-79.0,-72.0,-68.0,-71.0,-72.0,-74.0,-79.0,-79.0,-75.0,-72.0,-68.0,-72.0,-75.0,-79.0,-66.31704980842912,-79.0,-65.0,-64.9445564516129,-70.0,-95.0,-72.0,-79.0,-68.05708661417323,-95.0,-79.0,-79.0,-79.0,-95.0,-79.0,-79.0,-67.4870283018868,-95.0,-95.0,-83.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0
