,0
0,00:a3:8e:c7:a4:f4
1,00:a3:8e:c7:a4:f3
2,00:27:e3:07:b3:53
3,00:a3:8e:e2:3c:11
4,00:a3:8e:c7:a4:fd
5,00:a3:8e:c7:a4:f5
6,00:a3:8e:c7:a4:fc
7,00:a3:8e:e2:3c:13
8,00:27:e3:07:b3:51
9,00:27:e3:07:b3:5c
10,00:a3:8e:c7:a4:fe
11,00:27:e3:07:b3:5d
12,00:a3:8e:e2:3c:16
13,00:a3:8e:e2:3c:1e
14,00:a3:8e:c7:a4:f9
15,00:a3:8e:c7:a4:f1
16,00:27:e3:07:b3:54
17,00:27:e3:07:b3:55
18,00:a3:8e:e2:3c:14
19,00:a3:8e:e2:3c:1c
20,00:a3:8e:e2:3c:1d
21,00:a3:8e:e2:3c:15
22,00:a3:8e:c7:a4:fb
23,00:a3:8e:c7:a4:f2
24,00:a3:8e:c7:a4:fa
25,00:a3:8e:e2:3c:17
26,00:a3:8e:e2:3c:12
27,00:27:e3:07:b3:52
28,00:a3:8e:e2:3c:1a
29,00:a3:8e:c7:a4:f7
30,00:27:e3:07:b3:56
31,00:27:e3:07:b3:57
32,00:27:e3:07:b3:58
33,00:a3:8e:c7:a4:f8
34,00:a3:8e:e2:3c:1b
35,00:27:e3:07:b3:5e
36,70:db:98:ee:38:b2
37,00:27:e3:07:b3:59
38,00:a3:8e:e2:3c:19
39,00:27:e3:07:b3:5b
40,3e:dc:bc:0a:62:ee
41,00:27:e3:07:b3:5a
42,00:a3:8e:e2:3c:18
43,00:a3:8e:c7:a4:f6
44,70:db:98:ee:38:b6
45,70:db:98:ee:38:b1
46,22:a6:18:a2:97:63
47,00:a3:8e:c5:76:c2
48,00:a3:8e:c5:76:cc
49,00:a3:8e:c5:76:cd
50,00:a3:8e:c5:76:c3
51,70:db:98:ee:38:b7
52,70:db:98:ee:38:b3
53,00:a3:8e:c5:76:c5
54,00:a3:8e:c5:76:c4
55,00:a3:8e:c5:76:c1
56,00:a3:8e:c5:76:c7
57,70:db:98:ee:38:bc
58,70:db:98:ee:38:bd
59,e4:aa:5d:3e:c4:43
60,e4:aa:5d:3e:c4:41
61,e4:aa:5d:3e:c4:4c
62,e4:aa:5d:3e:c4:47
63,e4:aa:5d:3e:c4:4d
64,e4:aa:5d:3e:c4:45
65,e4:aa:5d:3e:c4:44
66,00:27:e3:27:84:a4
67,00:27:e3:27:84:a1
68,00:27:e3:27:84:ac
69,00:27:e3:27:84:a2
70,00:27:e3:27:84:a6
71,00:27:e3:27:84:a7
72,70:db:98:ee:38:b4
73,70:db:98:ee:38:b5
74,5c:5a:c7:29:c5:44
75,5c:5a:c7:29:c5:47
76,5c:5a:c7:29:c5:4d
77,e4:aa:5d:3e:c4:46
78,00:a3:8e:c5:76:c6
79,5c:5a:c7:29:c5:46
80,5c:5a:c7:29:c5:4c
81,5c:5a:c7:29:c5:41
82,e4:aa:5d:3e:c4:42
83,5c:5a:c7:29:c5:42
84,5c:5a:c7:29:c5:45
85,00:27:e3:27:84:ad
86,00:27:e3:27:84:a3
87,00:27:e3:27:84:a5
88,88:11:96:e6:fd:ff
89,e4:aa:5d:3e:c4:4a
90,5c:5a:c7:29:c5:43
91,70:db:98:ee:25:3c
92,70:db:98:ee:25:33
93,70:db:98:ee:25:35
94,e4:aa:5d:fd:25:d2
95,e4:aa:5d:fd:25:d6
96,e4:aa:5d:3e:c4:49
97,5c:5a:c7:3e:e8:8c
98,5c:5a:c7:3e:e8:82
99,e4:aa:5d:3e:c4:48
100,42:49:0f:4c:8d:63
101,70:db:98:ee:25:34
102,70:db:98:ee:25:31
103,00:27:e3:07:b4:b3
104,70:db:98:ee:25:36
105,5c:5a:c7:3e:e8:86
106,5c:5a:c7:3e:e8:87
107,70:db:98:ee:25:32
108,5c:5a:c7:3e:e8:8d
109,5c:5a:c7:3e:e8:81
110,5c:5a:c7:3e:e8:83
111,5c:5a:c7:3e:e8:84
112,5c:5a:c7:3e:e8:85
113,62:83:f3:48:7d:ba
114,12:e0:aa:22:15:81
115,70:db:98:ee:25:37
116,70:db:98:ee:25:3d
117,f4:bf:80:87:14:3f
118,e4:aa:5d:fd:25:d1
119,e4:aa:5d:fd:25:dd
120,e4:aa:5d:fd:25:d5
121,e4:aa:5d:fd:25:d4
122,5c:5a:c7:29:c8:c6
123,e4:aa:5d:fd:25:dc
124,5c:5a:c7:29:c8:c7
125,5c:5a:c7:29:c8:c4
126,5c:5a:c7:29:c8:c1
127,00:27:e3:07:b4:b1
